Light Range,Intensity,Indirect Multiplier,CV,UniformityRatio (Min/Max)
100.0000,1.0000,1.0000,1.5291,0.0383
100.0000,0.9474,527.2632,0.1576,0.4968
100.0000,0.8947,1053.5260,0.1552,0.5048
100.0000,0.8421,1579.7890,0.1544,0.5076
100.0000,0.7895,2106.0530,0.1540,0.5089
100.0000,0.7369,2632.3160,0.1538,0.5098
100.0000,0.6842,3158.5790,0.1536,0.5103
100.0000,0.6316,3684.8420,0.1535,0.5107
100.0000,0.5790,4211.1050,0.1535,0.5110
100.0000,0.5264,4737.3690,0.1534,0.5113
100.0000,0.4737,5263.6320,0.1533,0.5115
100.0000,0.4211,5789.8950,0.1533,0.5116
100.0000,0.3685,6316.1580,0.1533,0.5117
100.0000,0.3159,6842.4210,0.1532,0.5118
100.0000,0.2632,7368.6840,0.1532,0.5119
100.0000,0.2106,7894.9480,0.1532,0.5120
100.0000,0.1580,8421.2110,0.1532,0.5121
100.0000,0.1054,8947.4740,0.1531,0.5122
100.0000,0.0527,9473.7370,0.1531,0.5122
100.0000,0.0001,10000.0000,0.1531,0.5123
